nivel_registro,bloco_analisado,id_nota,num_nota,data_nota,titulo_nota,topico_tematica,porcentagem_presenca,vocabularios_chave_identificados,justificativa_metodologica,revisao_necessaria
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,Governanca Global e Reforma Institucional,14.5%,nacoes unidas (6x); multilateralismo (3x); multilateralism (3x); governanca global (3x); conselho de seguranca (2x); ordem internacional (2x); arquitetura financeira (1x),"Peso semantico do topico 'Governanca Global e Reforma Institucional' na nota = 22 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (22 / 152) x 100 = 14.5%. Termos computados (radical, casamento por fronteira de palavra): nacoes unidas (6x); multilateralismo (3x); multilateralism (3x); governanca global (3x); conselho de seguranca (2x); ordem internacional (2x); arquitetura financeira (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Economia, Comercio Exterior e Agronegocio",14.5%,salvaguarda (6x); import (6x); comercio (5x); agricola (3x); fitossanitari (1x); quarentena (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 22 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (22 / 152) x 100 = 14.5%. Termos computados (radical, casamento por fronteira de palavra): salvaguarda (6x); import (6x); comercio (5x); agricola (3x); fitossanitari (1x); quarentena (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Tecnologia, Inovacao e Espaco",13.8%,tecnolog (6x); inteligencia artificial (5x); inovac (4x); cibernet (3x); dados (1x); semicondutor (1x); biotecnolog (1x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 21 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (21 / 152) x 100 = 13.8%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (6x); inteligencia artificial (5x); inovac (4x); cibernet (3x); dados (1x); semicondutor (1x); biotecnolog (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Defesa, Seguranca Internacional e Geopolitica",13.8%,paz (7x); defesa (3x); nao proliferacao (3x); solucao pacifica (2x); oriente medio (2x); desarmamento (1x); terrorismo (1x); conflito (1x),"Peso semantico do topico 'Defesa, Seguranca Internacional e Geopolitica' na nota = 21 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (21 / 152) x 100 = 13.8%. Termos computados (radical, casamento por fronteira de palavra): paz (7x); defesa (3x); nao proliferacao (3x); solucao pacifica (2x); oriente medio (2x); desarmamento (1x); terrorismo (1x); conflito (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,Multilateralismo e Foruns Plurilaterais,12.5%,g20 (4x); declaracao conjunta (3x); brics (3x); celac (2x); cupula (2x); cosban (1x); consenso (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 19 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (19 / 152) x 100 = 12.5%. Termos computados (radical, casamento por fronteira de palavra): g20 (4x); declaracao conjunta (3x); brics (3x); celac (2x); cupula (2x); cosban (1x); consenso (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Transicao Energetica, Meio Ambiente e Mudanca do Clima",9.2%,cop (5x); transicao energetica (3x); ambiental (2x); florest (2x); mudanca do clima (1x); climatic (1x),"Peso semantico do topico 'Transicao Energetica, Meio Ambiente e Mudanca do Clima' na nota = 14 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (14 / 152) x 100 = 9.2%. Termos computados (radical, casamento por fronteira de palavra): cop (5x); transicao energetica (3x); ambiental (2x); florest (2x); mudanca do clima (1x); climatic (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Infraestrutura, Investimentos e Financas",5.9%,finance (4x); infraestrutura (3x); ferrovia (1x); cinturao e rota (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 9 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (9 / 152) x 100 = 5.9%. Termos computados (radical, casamento por fronteira de palavra): finance (4x); infraestrutura (3x); ferrovia (1x); cinturao e rota (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Educacao, Cultura e Intercambio Humano",5.3%,cultura (4x); educacao (2x); intercambio cultural (1x); ano cultural (1x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 8 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (8 / 152) x 100 = 5.3%. Termos computados (radical, casamento por fronteira de palavra): cultura (4x); educacao (2x); intercambio cultural (1x); ano cultural (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,Diplomacia Institucional e Atos Bilaterais,5.3%,visita de estado (4x); aniversario (2x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 8 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 152. Percentual = (8 / 152) x 100 = 5.3%. Termos computados (radical, casamento por fronteira de palavra): visita de estado (4x); aniversario (2x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,Outros / Temas Residuais (abaixo do limiar de 3%),5.2%,Cooperacao Bilateral e Sul-Sul; Direitos Humanos e Direito Internacional Humanitario; Saude Publica e Cooperacao Sanitaria,Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025",Diplomacia Institucional e Atos Bilaterais,40.0%,visita de estado (3x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 6 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (6 / 15) x 100 = 40.0%. Termos computados (radical, casamento por fronteira de palavra): visita de estado (3x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025",Multilateralismo e Foruns Plurilaterais,26.7%,celac (1x); brics (1x); g20 (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (4 / 15) x 100 = 26.7%. Termos computados (radical, casamento por fronteira de palavra): celac (1x); brics (1x); g20 (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025","Tecnologia, Inovacao e Espaco",13.3%,tecnolog (1x); inovac (1x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (2 / 15) x 100 = 13.3%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (1x); inovac (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025","Economia, Comercio Exterior e Agronegocio",6.7%,import (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (1 / 15) x 100 = 6.7%. Termos computados (radical, casamento por fronteira de palavra): import (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025","Transicao Energetica, Meio Ambiente e Mudanca do Clima",6.7%,transicao energetica (1x),"Peso semantico do topico 'Transicao Energetica, Meio Ambiente e Mudanca do Clima' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (1 / 15) x 100 = 6.7%. Termos computados (radical, casamento por fronteira de palavra): transicao energetica (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025","Infraestrutura, Investimentos e Financas",6.7%,infraestrutura (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (1 / 15) x 100 = 6.7%. Termos computados (radical, casamento por fronteira de palavra): infraestrutura (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Multilateralismo e Foruns Plurilaterais,27.5%,g20 (5x); brics (4x); cupula (4x); cosban (3x); declaracao conjunta (2x); celac (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 22 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (22 / 80) x 100 = 27.5%. Termos computados (radical, casamento por fronteira de palavra): g20 (5x); brics (4x); cupula (4x); cosban (3x); declaracao conjunta (2x); celac (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Governanca Global e Reforma Institucional,21.2%,nacoes unidas (6x); governanca global (4x); conselho de seguranca (3x); arquitetura financeira (1x); multilateralismo (1x); ordem internacional (1x); multilateralism (1x),"Peso semantico do topico 'Governanca Global e Reforma Institucional' na nota = 17 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (17 / 80) x 100 = 21.2%. Termos computados (radical, casamento por fronteira de palavra): nacoes unidas (6x); governanca global (4x); conselho de seguranca (3x); arquitetura financeira (1x); multilateralismo (1x); ordem internacional (1x); multilateralism (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,"Defesa, Seguranca Internacional e Geopolitica",13.8%,paz (4x); defesa (3x); ucrania (2x); seguranca internacional (1x); conflito (1x),"Peso semantico do topico 'Defesa, Seguranca Internacional e Geopolitica' na nota = 11 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (11 / 80) x 100 = 13.8%. Termos computados (radical, casamento por fronteira de palavra): paz (4x); defesa (3x); ucrania (2x); seguranca internacional (1x); conflito (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Diplomacia Institucional e Atos Bilaterais,7.5%,visita de estado (2x); relacoes diplomaticas (2x); comunicado conjunto (1x); aniversario (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 6 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (6 / 80) x 100 = 7.5%. Termos computados (radical, casamento por fronteira de palavra): visita de estado (2x); relacoes diplomaticas (2x); comunicado conjunto (1x); aniversario (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,"Transicao Energetica, Meio Ambiente e Mudanca do Clima",6.2%,cop (2x); florest (2x); climatic (1x),"Peso semantico do topico 'Transicao Energetica, Meio Ambiente e Mudanca do Clima' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (5 / 80) x 100 = 6.2%. Termos computados (radical, casamento por fronteira de palavra): cop (2x); florest (2x); climatic (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,"Educacao, Cultura e Intercambio Humano",6.2%,cultura (4x); ano cultural (1x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (5 / 80) x 100 = 6.2%. Termos computados (radical, casamento por fronteira de palavra): cultura (4x); ano cultural (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,"Infraestrutura, Investimentos e Financas",5.0%,finance (2x); infraestrutura (1x); cinturao e rota (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (4 / 80) x 100 = 5.0%. Termos computados (radical, casamento por fronteira de palavra): finance (2x); infraestrutura (1x); cinturao e rota (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Cooperacao Bilateral e Sul-Sul,3.8%,parceria estrategica (2x); sul-sul (1x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 3 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (3 / 80) x 100 = 3.8%. Termos computados (radical, casamento por fronteira de palavra): parceria estrategica (2x); sul-sul (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Direitos Humanos e Direito Internacional Humanitario,3.8%,fome (3x),"Peso semantico do topico 'Direitos Humanos e Direito Internacional Humanitario' na nota = 3 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 80. Percentual = (3 / 80) x 100 = 3.8%. Termos computados (radical, casamento por fronteira de palavra): fome (3x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,Outros / Temas Residuais (abaixo do limiar de 3%),5.0%,"Economia, Comercio Exterior e Agronegocio; Tecnologia, Inovacao e Espaco",Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024",Diplomacia Institucional e Atos Bilaterais,28.5%,memorando de entendimento (24x); visita de estado (2x); atos adotados (2x); memorandum of understanding (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 35 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (35 / 123) x 100 = 28.5%. Termos computados (radical, casamento por fronteira de palavra): memorando de entendimento (24x); visita de estado (2x); atos adotados (2x); memorandum of understanding (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024","Economia, Comercio Exterior e Agronegocio",27.6%,agricultur (10x); comercio (6x); aduana (4x); exportac (3x); export (3x); fitossanitari (2x); importac (1x); agricola (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 34 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (34 / 123) x 100 = 27.6%. Termos computados (radical, casamento por fronteira de palavra): agricultur (10x); comercio (6x); aduana (4x); exportac (3x); export (3x); fitossanitari (2x); importac (1x); agricola (1x).",Sim
