id_nota,num_nota,data_nota,titulo_nota,bloco_tematico_principal,temas_secundarios,justificativa_categorizacao,palavras_chave,revisao_necessaria
614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Atos Bilaterais, Cooperação Multissetorial",Lista e compilação dos atos e acordos governamentais assinados durante a visita de Estado do Presidente Lula a Pequim em maio de 2025.,"Atos Bilaterais, Visita de Estado, Lula, Pequim, Acordos Internacionais",Sim
615,199,13/05/2025,"Declaração conjunta Brasil-China sobre a crise na Ucrânia – Pequim, 13 de maio de 2025","Defesa, Segurança Internacional e Geopolítica","Resolução Pacífica de Conflitos, Mediação Geopolítica",Declaração conjunta Brasil-China delineando entendimentos comuns para a solução política e diplomática da crise na Ucrânia.,"Ucrânia, Solução Política, Paz, Entendimentos Comuns, Geopolítica",Não
616,198,13/05/2025,Declaração Conjunta por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim – 12 e 13 de maio de 2025,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Parceria Estratégica Global, Visita de Estado","Declaração política conjunta de alto nível da visita de Estado a Pequim em 2025, reafirmando alinhamento estratégico bilateral.","Declaração Conjunta, Pequim, Visita de Estado, Parceria Estratégica",Não
617,197,12/05/2025,"Visita de Estado do Presidente Lula à China – Pequim, 12 e 13 de maio de 2025","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Agenda Diplomática, Relações Bilaterais",Nota à imprensa detalhando a programação oficial e os objetivos da visita de Estado do Presidente Lula à China em maio de 2025.,"Visita de Estado, Presidente Lula, Pequim, Agenda Bilateral",Não
630,184,29/04/2025,Declaração da Presidência da Reunião de Ministros das Relações Exteriores dos Países Membros do BRICS,Cooperação Multilateral e Governança Global,"Diplomacia de Chanceleres, Paz e Segurança",Declaração oficial da Reunião de Ministros das Relações Exteriores do BRICS focada em posicionamentos geopolíticos e econômicos comuns.,"BRICS, Reunião de Ministros, Chanceleres, Governança Global",Não
634,180,28/04/2025,"Discurso do Ministro Mauro Vieira por ocasião da Reunião de Ministros das Relações Exteriores do BRICS – Rio de Janeiro, 28 de abril de 2025",Cooperação Multilateral e Governança Global,"Discurso Diplomático, Reformas Internacionais",Discurso do Ministro Mauro Vieira na reunião de chanceleres do BRICS defendendo o fortalecimento do Sul Global e a reforma das instituições internacionais.,"Mauro Vieira, BRICS, Sul Global, Discurso, Reforma da Governança",Não
721,94,24/02/2025,"Primeira Reunião de Sherpas do BRICS – Brasília, 25 e 26 de fevereiro",Cooperação Multilateral e Governança Global,"Coordenação Diplomática, Preparação de Cúpula",Nota sobre a 1ª Reunião de Sherpas do BRICS em Brasília para elaboração da agenda e documentos de trabalho da Presidência brasileira.,"BRICS, Sherpas, Brasília, Preparação de Cúpula, Negociações",Não
741,74,15/02/2025,"Escolha do Rio de Janeiro para sediar a Cúpula do BRICS, dias 6 e 7 de julho",Cooperação Multilateral e Governança Global,"Sede de Cúpula, Logística Diplomática",Anúncio da escolha da cidade do Rio de Janeiro para sediar a Cúpula de Chefes de Estado e Governo do BRICS em 2025.,"BRICS, Rio de Janeiro, Cúpula de Líderes, Sede",Não
818,626,27/12/2024,Nota conjunta MRE/MAPA/MDIC sobre investigação anunciada pelo Ministério do Comércio da China sobre as importações de carne bovina,"Comércio Exterior, Agronegócio e Economia","Investigação Comercial, Defesa das Exportações",Nota conjunta sobre o acompanhamento governamental de investigações comerciais iniciadas pela China relativas à carne bovina importada do Brasil.,"Carne Bovina, Investigação Comercial, MRE, MAPA, MDIC, Defesa Comercial",Não
879,565,20/11/2024,Declaração Conjunta sobre a formação conjunta da Comunidade de Futuro Compartilhado Brasil-China por um Mundo mais Justo e um Planeta mais Sustentável,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Comunidade de Futuro Compartilhado, Desenvolvimento Sustentável",Declaração histórica referente ao alinhamento estratégico Brasil-China para a construção de uma Comunidade de Futuro Compartilhado por um mundo justo e sustentável.,"Comunidade de Futuro Compartilhado, Xi Jinping, Lula, Parceria Estratégica, Sustentabilidade",Sim
881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Atos Bilaterais, Cooperação Multissetorial",Compilação dos 37 atos governamentais e memorandos adotados por ocasião da visita de Estado do Presidente Xi Jinping a Brasília.,"Atos Adotados, Xi Jinping, Brasília, Visita de Estado, Memorandos de Entendimento",Sim
888,556,19/11/2024,"Visita de Estado do Presidente da China – Brasília, 20 de novembro de 2024","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Visita de Estado, Anúncio Oficial",Anúncio oficial da visita de Estado do Presidente Xi Jinping a Brasília para reuniões bilaterais de alto nível com o Presidente Lula.,"Xi Jinping, Visita de Estado, Brasília, Reunião Bilateral",Não
939,Nota à imprensa nº 505,23/10/2024,"XVI Cúpula do BRICS – Kazan, Rússia, 22 a 24 de outubro de 2024 - Declaração Final",Cooperação Multilateral e Governança Global,"Cúpula do BRICS, Declaração de Kazan","Declaração Final da XVI Cúpula do BRICS em Kazan, consolidando consensos entre os países membros em governança financeira, transição ecológica e segurança.","BRICS, Kazan, Declaração de Kazan, Cúpula, Sul Global",Não
992,454,28/09/2024,Criação do “Grupo de Amigos da Paz” durante Reunião de Alto Nível de Países do Sul Global sobre o Conflito na Ucrânia,"Defesa, Segurança Internacional e Geopolítica","Grupo Amigos da Paz, Mediação da Crise na Ucrânia","Lançamento formal da iniciativa conjunta Brasil-China do Grupo ""Amigos da Paz"" na ONU para promover a cessação das hostilidades e solução negociada na Ucrânia.","Amigos da Paz, Ucrânia, ONU, Sul Global, Brasil-China, Mediação",Não
995,451,27/09/2024,Iniciativa Global de Promoção do Direito Internacional Humanitário,"Defesa, Segurança Internacional e Geopolítica","Direito Internacional Humanitário, Diplomacia Multilateral",Lançamento de iniciativa global em prol do fortalecimento e cumprimento das regras do Direito Internacional Humanitário.,"Direito Internacional Humanitário, Proteção de Civis, Convenções de Genebra",Sim
1080,367,14/08/2024,50 anos de relações Brasil-China,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Jubileu de Ouro, Relações Diplomáticas",Nota celebrativa dos 50 anos do estabelecimento das relações diplomáticas formais entre a República Federativa do Brasil e a República Popular da China.,"50 Anos, Relações Diplomáticas, Jubileu, Parceria Estratégica Global",Não
1101,346,31/07/2024,Ampliação no número de adidos agrícolas - Nota conjunta MRE/MAPA,"Comércio Exterior, Agronegócio e Economia","Adidâncias Agrícolas, Abertura de Mercados","Nota conjunta sobre a expansão das adidâncias agrícolas brasileiras no exterior, destacando a prioridade estratégica dos postos na China.","Adidos Agrícolas, MAPA, MRE, Promoção Comercial, Agronegócio China",Não
1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","COSBAN, Mecanismo Bilateral de Concertação","Realização da VII Sessão Plenária da COSBAN sob co-presidência do Vice-Presidente Geraldo Alckmin em Pequim, avaliando todo o espectro da cooperação bilateral.","COSBAN, Geraldo Alckmin, Pequim, Mecanismo Bilateral, Concertação Política",Sim
1298,Nota à imprensa nº 149,08/04/2024,Habilitação de sete estabelecimentos brasileiros para exportação de soro fetal bovino para a China - Nota Conjunta MRE/MAPA,"Comércio Exterior, Agronegócio e Economia","Soro Fetal Bovino, Habilitação de Frigoríficos",Abertura do mercado chinês para importação de soro fetal bovino brasileiro com autorização para 7 novos estabelecimentos.,"Soro Fetal Bovino, Habilitação, MAPA, MRE, Exportações",Não
1335,112,12/03/2024,Habilitação de 38 novos frigoríficos para exportação de carnes à China,"Comércio Exterior, Agronegócio e Economia","Habilitação de Frigoríficos, Carnes","Decisão histórica da GACC/China habilitando 38 novos frigoríficos brasileiros para exportação de carnes bovina, suína e de aves.","Frigoríficos, GACC, Exportação de Carnes, MAPA, MRE",Não
1362,Nota à Imprensa nº 85,27/02/2024,Fim da medida antidumping da China sobre carne de frango brasileira - nota conjunta MRE/MDIC,"Comércio Exterior, Agronegócio e Economia","Fim de Antidumping, Carne de Frango",Retirada das taxas e medidas antidumping chinesas que incidiam sobre as exportações brasileiras de carne de frango desde 2019.,"Antidumping, Carne de Frango, MDIC, MRE, Controvérsia Comercial",Não
1424,23,19/01/2024,Assinatura de acordo entre o Brasil e a China sobre vistos de turismo e negócios,"Educação, Cultura e Intercâmbio Humano","Facilitação de Vistos, Turismo e Negócios",Assinatura de acordo bilateral de ampliação da validade de vistos de turismo e negócios para 10 anos entre Brasil e China.,"Vistos, Visto 10 anos, Turismo, Negócios, Mobilidade Humana",Não
1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Visita de Wang Yi, Diálogo Estratégico Global",Visita oficial do Chanceler chinês Wang Yi a Brasília para co-presidir o Diálogo Estratégico Global Brasil-China.,"Wang Yi, Diálogo Estratégico Global, Brasília, Chanceleres",Não
1607,467,16/10/2023,Declaração Ministerial Conjunta do BASIC sobre Mudança do Clima,"Transição Energética, Meio Ambiente e Mudança do Clima","Grupo BASIC, Negociações Climáticas","Declaração conjunta dos Ministros do Meio Ambiente do Grupo BASIC (Brasil, África do Sul, Índia e China) sobre metas de descarbonização e financiamento climático.","BASIC, Mudança do Clima, COP, Financiamento Climático, Transição Energética",Não
1675,Nota à Imprensa nº 399,20/09/2023,"Reunião de Chanceleres do BRICS à margem da 78ª Sessão da Assembleia Geral das Nações Unidas – Comunicado Conjunto – Nova York, 20 de setembro de 2023",Cooperação Multilateral e Governança Global,"Reunião de Chanceleres, ONU",Comunicado conjunto da reunião anual dos Ministros das Relações Exteriores do BRICS em Nova York por ocasião da Assembleia Geral da ONU.,"BRICS, Nova York, AGNU, Comunicado Conjunto, Multilateralismo",Não
1719,Nota à Imprensa nº 355,24/08/2023,"Declaração de Joanesburgo II - Sandton, Gauteng, África do Sul - 23 de agosto de 2023",Cooperação Multilateral e Governança Global,"Declaração de Joanesburgo II, Expansão do BRICS",Declaração de Cúpula do BRICS na África do Sul aprovando o alinhamento para expansão do bloco e promoção de cooperação Sul-Sul.,"BRICS, Joanesburgo, Cúpula, Expansão do BRICS, Parceria África-BRICS",Não
1818,226,02/06/2023,"Declaração Conjunta do Cabo da Boa Esperança – Ministros das Relações Exteriores e Relações Internacionais do BRICS – Cidade do Cabo, África do Sul, 1º de junho de 2023",Cooperação Multilateral e Governança Global,"Declaração Cabo da Boa Esperança, Chanceleres BRICS","Declaração conjunta dos ministros de Relações Exteriores do BRICS na Cidade do Cabo com posiçoes articuladas sobre segurança, finanças e desenvolvimento.","BRICS, Cidade do Cabo, Chanceleres, Posições Conjuntas",Não
1909,135,14/04/2023,"Lista de atos assinados por governos estaduais, Fiocruz e Vale por ocasião da visita do Presidente Luiz Inácio Lula da Silva à República Popular da China","Infraestrutura, Investimentos e Finanças","Energia Renovável, Parcerias Estaduais e Privadas","Lista de acordos firmados por governos estaduais (ex: Ceará), Fiocruz e Vale com empresas e instituições chinesas durante a visita presidencial a Pequim.","Parcerias Estaduais, SPIC, Energias Renováveis, Fiocruz, Vale, Investimentos",Sim
1910,134,14/04/2023,Declaração Conjunta Brasil-China sobre o combate à mudança do clima,"Transição Energética, Meio Ambiente e Mudança do Clima","Declaração de Clima Brasil-China, Sustentabilidade",Declaração Conjunta bilateral específica emitida pelos Presidentes Lula e Xi Jinping focada exclusivamente no combate à mudança do clima e transição ecológica.,"Mudança do Clima, Declaração Conjunta, Lula, Xi Jinping, Transição Ecológica",Não
1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Parceria Estratégica Global, Visita de Estado 2023",Declaração Conjunta principal entre Brasil e China sobre o Aprofundamento da Parceria Estratégica Global assinada pelos dois Chefes de Estado em Pequim.,"Parceria Estratégica Global, Pequim 2023, Lula, Xi Jinping, Declaração Conjunta",Sim
1912,132,14/04/2023,Acordos assinados pelo setor privado e por entes públicos brasileiros por ocasião da visita do Presidente Luiz Inácio Lula da Silva à República Popular da China,"Infraestrutura, Investimentos e Finanças","Setor Privado, Acordos Comerciais e Financeiros","Anúncio de 20 acordos comerciais, tecnológicos e de investimento celebrados entre empresas privadas e entidades públicas brasileiras e chinesas.","Setor Privado, 20 Acordos, Investimentos, Parcerias Empresariais",Não
1913,131,14/04/2023,"Lista e íntegra dos atos assinados no Grande Palácio do Povo, por ocasião da visita do Presidente Luiz Inácio Lula da Silva à República Popular da China","Ciência, Tecnologia, Inovação e Espacial","Acordo CBERS-6, Telecomunicações, Comércio","Texto integral dos 15 atos governamentais assinados em Pequim, com destaque central para a cooperação espacial no satélite CBERS-6, pesquisa e inovação tecnológica.","CBERS-6, Satélites, Tecnologia Espacial, Comunicação, Atos Governamentais",Sim
1930,114,29/03/2023,Seminário Econômico Brasil-China,"Comércio Exterior, Agronegócio e Economia","Seminário Econômico, Rodada de Negócios",Realização do Seminário Econômico Brasil-China em Pequim promovido por MRE e ApexBrasil reunindo centenas de empresários dos dois países.,"Seminário Econômico, ApexBrasil, Pequim, Empresários, Negócios",Não
1935,109,23/03/2023,Reabertura do mercado chinês à carne bovina brasileira,"Comércio Exterior, Agronegócio e Economia","Reabertura de Mercado, Carne Bovina",Fim da auto-suspensão e reabertura formal do mercado chinês às importações de carne bovina brasileira.,"Carne Bovina, Reabertura de Mercado, GACC, MAPA, Exportação",Não
1942,Nota à Imprensa nº 102,17/03/2023,Visita de Estado do Senhor Presidente da República à República Popular da China,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Anúncio de Visita de Estado, Agenda Presidencial",Anúncio oficial e dados da visita de Estado do Presidente Lula à China em março/abril de 2023.,"Visita de Estado, Lula, Pequim, Anúncio Oficial",Não
